country,area1kha1990,area1kha2000,area1kha2005,area1kha2010,change1990-2000khayr,pctchange1990-2000,change2000-2005khayr,pctchange2000-2005,change2005-2010khayr,pctchange2005-2010
Madagascar,13692,13122,12838,12553,-57,-0.42,-57,-0.44,-57,-0.45
Guatemala,4748,4208,3938,3657,-54,-1.2,-54,-1.32,-56,-1.47
Sudan,76381,70491,70220,69949,-589,-0.8,-54,-0.08,-54,-0.08
Benin,5761,5061,4811,4561,-70,-1.29,-50,-1.01,-50,-1.06
Pakistan,2527,2116,1902,1687,-41,-1.76,-43,-2.11,-43,-2.37
Northern Africa,85123,79224,79019,78814,-590,-0.72,-41,-0.05,-41,-0.05
Senegal,9348,8898,8673,8473,-45,-0.49,-45,-0.51,-40,-0.47
Guinea,7264,6904,6724,6544,-36,-0.51,-36,-0.53,-36,-0.54
Malawi,3896,3567,3402,3237,-33,-0.88,-33,-0.94,-33,-0.99
Liberia,4929,4629,4479,4329,-30,-0.63,-30,-0.66,-30,-0.68
Central African Republic,23203,22903,22755,22605,-30,-0.13,-30,-0.13,-30,-0.13
Togo,685,486,386,287,-20,-3.37,-20,-4.5,-20,-5.75
Sierra Leone,3118,2922,2824,2726,-20,-0.65,-20,-0.68,-20,-0.7
Sri Lanka,2350,2082,1933,1860,-27,-1.2,-30,-1.47,-15,-0.77
Niger,1945,1328,1266,1204,-62,-3.74,-12,-0.95,-12,-1
Equatorial Guinea,1860,1743,1685,1626,-12,-0.65,-12,-0.67,-12,-0.71
Panama,3792,3369,3310,3251,-42,-1.18,-12,-0.35,-12,-0.36
Congo,22726,22556,22471,22411,-17,-0.08,-17,-0.08,-12,-0.05
Timor-Leste,966,854,798,742,-11,-1.22,-11,-1.35,-11,-1.44
Kenya,3708,3582,3522,3467,-13,-0.35,-12,-0.34,-11,-0.31
Belize,1586,1489,1441,1393,-10,-0.63,-10,-0.65,-10,-0.68
Guinea-Bissau,2216,2120,2072,2022,-10,-0.44,-10,-0.46,-10,-0.49
Algeria,1667,1579,1536,1492,-9,-0.54,-9,-0.55,-9,-0.58
New Zealand,7720,8266,8311,8269,55,0.69,9,0.11,-8,-0.1
Estonia,2090,2243,2252,2217,15,0.71,2,0.08,-7,-0.31
Republic of Korea,6370,6288,6255,6222,-8,-0.13,-7,-0.11,-7,-0.11
Solomon Islands,2324,2268,2241,2213,-6,-0.24,-5,-0.24,-6,-0.25
Kazakhstan,3422,3365,3337,3309,-6,-0.17,-6,-0.17,-6,-0.17
Mauritania,415,317,267,242,-10,-2.66,-10,-3.37,-5,-1.95
Armenia,347,304,283,262,-4,-1.31,-4,-1.42,-4,-1.53
El Salvador,377,332,309,287,-5,-1.26,-5,-1.43,-4,-1.47
Eritrea,1621,1576,1554,1532,-5,-0.28,-4,-0.28,-4,-0.28
Uzbekistan,3045,3212,3295,3276,17,0.54,17,0.51,-4,-0.12
French Guiana,8188,8118,8100,8082,-7,-0.09,-4,-0.04,-4,-0.04
Suriname,14776,14776,14776,14758,0,0,0,0,-4,-0.02
Bangladesh,1494,1468,1455,1442,-3,-0.18,-3,-0.18,-3,-0.18
Georgia,2779,2768,2755,2742,-1,-0.04,-3,-0.09,-3,-0.09
Burundi,289,198,181,172,-9,-3.71,-3,-1.78,-2,-1.01
Brunei Darussalam,413,397,389,380,-2,-0.39,-2,-0.41,-2,-0.47
Haiti,116,109,105,101,-1,-0.62,-1,-0.74,-1,-0.77
Trinidad and Tobago,241,234,230,226,-1,-0.3,-1,-0.31,-1,-0.32
Albania,789,769,782,776,-2,-0.26,3,0.34,-1,-0.15
Comoros,12,8,5,3,0,-3.97,-1,-8.97,0,-9.71
Mayotte,18,16,15,14,0,-1.15,0,-1.26,0,-1.35
United States Virgin Islands,24,22,21,20,0,-0.73,0,-0.78,0,-0.81
Saint Pierre and Miquelon,3,3,3,3,0,-0.6,0,-1.28,0,-0.68
Dominica,50,47,46,45,0,-0.55,0,-0.57,0,-0.59
Niue,21,20,19,19,0,-0.5,0,-0.52,0,-0.53
Northern Mariana Islands,34,32,31,30,0,-0.5,0,-0.52,0,-0.53
Guadeloupe,67,65,64,64,0,-0.3,0,-0.31,0,-0.28
American Samoa,18,18,18,18,0,-0.19,0,-0.19,0,-0.19
Israel,132,153,155,154,2,1.49,0,0.26,0,-0.13
Jamaica,345,341,339,337,0,-0.11,0,-0.1,0,-0.12
British Virgin Islands,4,4,4,4,0,-0.11,0,-0.05,0,-0.11
Djibouti,6,6,6,6,0,0,0,0,0,0
Seychelles,41,41,41,41,0,0,0,0,0,0
South Africa,9241,9241,9241,9241,0,0,0,0,0,0
Libyan Arab Jamahiriya,217,217,217,217,0,0,0,0,0,0
Western Sahara,707,707,707,707,0,0,0,0,0,0
Gabon,22000,22000,22000,22000,0,0,0,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",2,2,2,2,0,0,0,0,0,0
Sao Tome and Principe,27,27,27,27,0,0,0,0,0,0
Maldives,1,1,1,1,0,0,0,0,0,0
Nepal,4817,3900,3636,3636,-92,-2.09,-53,-1.39,0,0
Singapore,2,2,2,2,0,0,0,0,0,0
Afghanistan,1350,1350,1350,1350,0,0,0,0,0,0
Azerbaijan,936,936,936,936,0,0,0,0,0,0
Iran (Islamic Republic of),11075,11075,11075,11075,0,0,0,0,0,0
Iraq,804,818,825,825,1,0.17,1,0.17,0,0
Jordan,98,98,98,98,0,0,0,0,0,0
Occupied Palestinian Territory,9,9,9,9,0,0,0,0.2,0,0
Oman,2,2,2,2,0,0,0,0,0,0
Saudi Arabia,977,977,977,977,0,0,0,0,0,0
Tajikistan,408,410,410,410,0,0.05,0,0,0,0
Turkmenistan,4127,4127,4127,4127,0,0,0,0,0,0
Yemen,549,549,549,549,0,0,0,0,0,0
Andorra,16,16,16,16,0,0,0,0,0,0
Bosnia and Herzegovina,2210,2185,2185,2185,-3,-0.11,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0
Finland,21889,22459,22157,22157,57,0.26,-60,-0.27,0,0
Germany,10741,11076,11076,11076,34,0.31,0,0,0,0
Guernsey,0,0,0,0,0,0,0,0,0,0
Isle of Man,3,3,3,3,0,0,0,0,0,0
Jersey,1,1,1,1,0,0,0,0,0,0
Liechtenstein,7,7,7,7,0,0.6,0,0,0,0
Luxembourg,86,87,87,87,0,0.11,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0
Montenegro,543,543,543,543,0,0,0,0,0,0
Netherlands,345,360,365,365,2,0.43,1,0.28,0,0
Sweden,27281,27389,28203,28203,11,0.04,163,0.59,0,0
Anguilla,6,6,6,6,0,0,0,0,0,0
Antigua and Barbuda,10,10,10,10,0,-0.3,0,-0.4,0,0
Aruba,0,0,0,0,0,0,0,0,0,0
Bahamas,515,515,515,515,0,0,0,0,0,0
Barbados,8,8,8,8,0,0,0,0,0,0
Bermuda,1,1,1,1,0,0,0,0,0,0
Cayman Islands,13,13,13,13,0,0,0,0,0,0
Dominican Republic,1972,1972,1972,1972,0,0,0,0,0,0
Grenada,17,17,17,17,0,0,0,0,0,0
Martinique,49,49,49,49,0,0,0,0,0,0
Montserrat,4,3,3,3,0,-3.31,0,0,0,0
Netherlands Antilles,1,1,1,1,0,0,0,0,0,0
Saint Kitts and Nevis,11,11,11,11,0,0,0,0,0,0
Saint Lucia,44,47,47,47,0,0.64,0,0.13,0,0
Saint Martin (French part),1,1,1,1,0,0,0,0,0,0
Turks and Caicos Islands,34,34,34,34,0,0,0,0,0,0
Canada,310134,310134,310134,310134,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0
Cook Islands,15,16,16,16,0,0.4,0,0,0,0
Guam,26,26,26,26,0,0,0,0,0,0
Kiribati,12,12,12,12,0,0,0,0,0,0
Marshall Islands,13,13,13,13,0,0,0,0,0,0
New Caledonia,839,839,839,839,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0
Palau,38,40,40,40,0,0.37,0,0.36,0,0
Pitcairn,4,4,4,4,0,0,0,0,0,0
Samoa,130,171,171,171,4,2.78,0,0,0,0
Tonga,9,9,9,9,0,0,0,0,0,0
Tuvalu,1,1,1,1,0,0,0,0,0,0
Vanuatu,440,440,440,440,0,0,0,0,0,0
Guyana,15205,15205,15205,15205,0,0,0,0,0,0
Côte d'Ivoire,10222,10328,10405,10403,11,0.1,15,0.15,0,0
Slovakia,1922,1921,1932,1933,0,-0.01,2,0.11,0,0.01
Wallis and Futuna Islands,6,6,6,6,0,0.03,0,0.07,0,0.03
Cyprus,161,172,173,173,1,0.63,0,0.14,0,0.04
Micronesia (Federated States of),64,64,64,64,0,0.04,0,0.04,0,0.04
Mauritius,39,39,35,35,0,-0.03,-1,-2.05,0,0.06
Lebanon,131,131,137,137,0,0,1,0.83,0,0.06
Saint Vincent and the Grenadines,25,26,26,27,0,0.27,0,0.23,0,0.3
Cape Verde,58,82,84,85,2,3.58,0,0.36,0,0.36
Lesotho,40,42,43,44,0,0.49,0,0.47,0,0.46
Kuwait,3,5,6,6,0,3.46,0,2.73,0,2.4
Bahrain,0,0,0,1,0,5.56,0,3.84,0,3.26
Qatar,0,0,0,0,0,,0,,0,
Gibraltar,0,0,0,0,0,,0,,0,
Holy See,0,0,0,0,0,,0,,0,
Monaco ,0,0,0,0,0,,0,,0,
San Marino,0,0,0,0,0,,0,,0,
Svalbard and Jan Mayen Islands,0,0,0,0,0,,0,,0,
Saint Barthélemy,0b,0,0,0,0,,0,,0,
Nauru,0,0,0,0,0,,0,,0,
Tokelau,0,0,0,0,0,,0,,0,
Falkland Islands (malvinas) *,0,0,0,0,0,,0,,0,
Belgium ,677,667,673,678,-1,-0.15,1,0.16,1,0.15
United Arab Emirates,245,310,312,317,7,2.38,0,0.13,1,0.34
Réunion,87,87,85,88,0,0,0,-0.46,1,0.7
Egypt,44,59,67,70,2,2.98,2,2.58,1,0.88
Iceland,9,18,25,30,1,7.78,1,6.66,1,3.32
Czech Republic,2629,2637,2647,2657,1,0.03,2,0.08,2,0.08
Slovenia,1188,1233,1243,1253,5,0.37,2,0.16,2,0.16
Denmark,445,486,534,544,4,0.89,10,1.9,2,0.37
Gambia,442,461,471,480,2,0.42,2,0.43,2,0.38
Croatia,1850,1885,1903,1920,4,0.19,4,0.19,3,0.18
Fiji,953,980,997,1014,3,0.29,3,0.34,3,0.34
Portugal,3327,3420,3437,3456,9,0.28,3,0.1,4,0.11
Swaziland,472,518,541,563,5,0.93,5,0.87,4,0.8
Austria,3776,3838,3862,3887,6,0.16,5,0.12,5,0.13
Switzerland,1151,1194,1217,1240,4,0.37,5,0.38,5,0.38
The former Yugoslav Republic of Macedonia,912,958,975,998,5,0.49,3,0.35,5,0.47
Republic of Moldova,319,324,363,386,1,0.16,8,2.3,5,1.24
French Polynesia,55b,105,130,155,5,6.68,5,4.36,5,3.58
Syrian Arab Republic,372,432,461,491,6,1.51,6,1.31,6,1.27
United Kingdom,2611,2793,2845,2881,18,0.68,10,0.37,7,0.25
Lithuania,1945,2020,2121,2160,8,0.38,20,0.98,8,0.37
Japan,24950,24876,24935,24979,-7,-0.03,12,0.05,9,0.04
Hungary,1801,1907,1983,2029,11,0.57,15,0.78,9,0.46
Ireland,465,635,695,739,17,3.16,12,1.82,9,1.24
Puerto Rico,287,464,508,552,18,4.92,9,1.83,9,1.68
Morocco,5049,5017,5081,5131,-3,-0.06,13,0.25,10,0.2
Rwanda,318,344,385,435,3,0.79,8,2.28,10,2.47
Bhutan,3035,3141,3195,3249,11,0.34,11,0.34,11,0.34
Latvia,3173,3241,3297,3354,7,0.21,11,0.34,11,0.34
Thailand,19549,19004,18898,18972,-55,-0.28,-21,-0.11,15,0.08
Tunisia,643,837,924,1006,19,2.67,17,2,16,1.72
Kyrgyzstan,836,858,869,954,2,0.26,2,0.26,17,1.87
North and Central America,708383,705497,705296,705393,-289,-0.04,-40,-0.01,19,0
Costa Rica,2564,2376,2491,2605,-19,-0.76,23,0.95,23,0.9
Ukraine,9274,9510,9575,9705,24,0.25,13,0.14,26,0.27
Poland,8881,9059,9200,9337,18,0.2,28,0.31,27,0.3
Greece,3299,3601,3752,3903,30,0.88,30,0.82,30,0.79
Cuba,2058,2435,2697,2870,38,1.7,52,2.06,35,1.25
Romania,6371,6366,6391,6573,-1,-0.01,5,0.08,36,0.56
Chile,15263,15834,16043,16231,57,0.37,42,0.26,38,0.23
Belarus,7780,8273,8436,8630,49,0.62,33,0.39,39,0.46
Caribbean,5902,6434,6728,6933,53,0.87,59,0.9,41,0.6
Uruguay,920,1412,1520,1744,49,4.38,22,1.48,45,2.79
Serbia,2313,2460,2476,2713,15,0.62,3,0.13,47,1.85
France,14537,15353,15714,15954,82,0.55,72,0.47,48,0.3
Philippines,6570,7117,7391,7665,55,0.8,55,0.76,55,0.73
Bulgaria,3327,3375,3651,3927,5,0.14,55,1.58,55,1.47
Russian Federation,808950,809269,808790,809090,32,0,-96,-0.01,60,0.01
Norway,9130,9301,9683,10065,17,0.19,76,0.81,76,0.78
Italy,7590,8369,8759,9149,78,0.98,78,0.92,78,0.88
Turkey,9680,10146,10740,11334,47,0.47,119,1.14,119,1.08
Western and Central Asia,41489,42207,42880,43513,72,0.17,135,0.32,127,0.29
Viet Nam,9363,11725,13077,13797,236,2.28,270,2.21,144,1.08
India,63939,65390,67709,68434,145,0.22,464,0.7,145,0.21
Spain,13818,16988,17293,18173,317,2.09,61,0.36,176,1
North America,676764,677083,677823,678961,32,0,148,0.02,228,0.03
United States of America,296335,300195,302108,304022,386,0.13,383,0.13,383,0.13
Europe,989471,998239,1001150,1005001,877,0.09,582,0.06,770,0.08
Asia,576110,570164,584048,592512,-595,-0.1,2777,0.48,1693,0.29
East Asia,209198,226815,241841,254626,1762,0.81,3005,1.29,2557,1.04
China,157141,177000,193044,206861,1986,1.2,3209,1.75,2763,1.39
